order_id,customer_id,order_date,promised_delivery_time,actual_delivery_time,delivery_status,order_total,payment_method,delivery_partner_id,store_id,customer_name,customer_segment,product_id,product_name,category,price,rating,feedback_text,feedback_category,sentiment,delivery_time_minutes,distance_km,reasons_if_delayed,Date,Value_type,Value,Emoji,Star,Img,customer's address,area,pincode
1961864118,30065862,17-07-2024 08:34:01 AM,17-07-2024 08:52:01 AM,17-07-2024 08:47:01 AM,On Time,3197.07,Cash,63230,4771,Urishilla Hegde,Regular,642612,Pet Treats,Pet Care,517.03,4,"It was okay, nothing special.",Delivery,Neutral,-5,0.96,,17-07-2024,Quantity,3,https://i.postimg.cc/X7XSGhNR/smile.png,⭐⭐⭐⭐,https://i.postimg.cc/FRMdmQjx/pet-food.png,"H.No. 330
Rana Path, Sagar 712033",Allahabad,911359
1961864118,30065862,17-07-2024 08:34:01 AM,17-07-2024 08:52:01 AM,17-07-2024 08:47:01 AM,On Time,3197.07,Cash,63230,4771,Urishilla Hegde,Regular,642612,Pet Treats,Pet Care,517.03,4,"It was okay, nothing special.",Delivery,Neutral,-5,0.96,,17-07-2024,Value,1551.09,https://i.postimg.cc/X7XSGhNR/smile.png,⭐⭐⭐⭐,https://i.postimg.cc/FRMdmQjx/pet-food.png,"H.No. 330
Rana Path, Sagar 712033",Allahabad,911359
8247327365,30065862,25-09-2024 11:15:52 AM,25-09-2024 11:28:52 AM,25-09-2024 11:42:52 AM,Slightly Delayed,2592.28,Card,11031,4986,Urishilla Hegde,Regular,704868,Detergent,Household Care,193.46,3,The packaging was poor.,Delivery,Negative,14,3.86,Traffic,25-09-2024,Quantity,3,https://i.postimg.cc/d02zccny/confused.png,⭐⭐⭐,https://i.postimg.cc/1tnnLzNt/cleaning-tools.png,"H.No. 330
Rana Path, Sagar 712033",Allahabad,911359
8247327365,30065862,25-09-2024 11:15:52 AM,25-09-2024 11:28:52 AM,25-09-2024 11:42:52 AM,Slightly Delayed,2592.28,Card,11031,4986,Urishilla Hegde,Regular,704868,Detergent,Household Care,193.46,3,The packaging was poor.,Delivery,Negative,14,3.86,Traffic,25-09-2024,Value,580.38,https://i.postimg.cc/d02zccny/confused.png,⭐⭐⭐,https://i.postimg.cc/1tnnLzNt/cleaning-tools.png,"H.No. 330
Rana Path, Sagar 712033",Allahabad,911359
1002526452,97475543,31-07-2023 11:19:05 PM,31-07-2023 11:29:05 PM,31-07-2023 11:33:05 PM,On Time,5001.82,Cash,56579,852,Niharika Nagi,Premium,444361,Pain Reliever,Pharmacy,822.63,4,"Average experience, could improve.",Delivery,Neutral,4,0.68,Traffic,31-07-2023,Quantity,2,https://i.postimg.cc/X7XSGhNR/smile.png,⭐⭐⭐⭐,https://i.postimg.cc/W3x7FCP9/pharmacy.png,"23, Nayar Path, Bihar Sharif-154625",Udupi,321865
1002526452,97475543,31-07-2023 11:19:05 PM,31-07-2023 11:29:05 PM,31-07-2023 11:33:05 PM,On Time,5001.82,Cash,56579,852,Niharika Nagi,Premium,444361,Pain Reliever,Pharmacy,822.63,4,"Average experience, could improve.",Delivery,Neutral,4,0.68,Traffic,31-07-2023,Value,1645.26,https://i.postimg.cc/X7XSGhNR/smile.png,⭐⭐⭐⭐,https://i.postimg.cc/W3x7FCP9/pharmacy.png,"23, Nayar Path, Bihar Sharif-154625",Udupi,321865
9799231260,22077605,07-03-2024 08:59:56 AM,07-03-2024 09:17:56 AM,07-03-2024 09:21:56 AM,On Time,872.83,Wallet,58378,7812,Megha Sachar,Inactive,39154,Mangoes,Fruits & Vegetables,946.86,4,"Nothing to complain about, but nothing exceptional.",Customer Service,Neutral,4,0.9,Traffic,07-03-2024,Quantity,3,https://i.postimg.cc/X7XSGhNR/smile.png,⭐⭐⭐⭐,https://i.postimg.cc/sgsWvyb6/fruits.png,"51/302, Buch Chowk
Srinagar-570271",Aligarh,149394
9799231260,22077605,07-03-2024 08:59:56 AM,07-03-2024 09:17:56 AM,07-03-2024 09:21:56 AM,On Time,872.83,Wallet,58378,7812,Megha Sachar,Inactive,39154,Mangoes,Fruits & Vegetables,946.86,4,"Nothing to complain about, but nothing exceptional.",Customer Service,Neutral,4,0.9,Traffic,07-03-2024,Value,2840.58,https://i.postimg.cc/X7XSGhNR/smile.png,⭐⭐⭐⭐,https://i.postimg.cc/sgsWvyb6/fruits.png,"51/302, Buch Chowk
Srinagar-570271",Aligarh,149394
5998035939,88324928,22-02-2024 01:21:53 AM,22-02-2024 01:33:53 AM,22-02-2024 01:31:53 AM,On Time,3279.72,Card,25912,2444,Geetika Nanda,Regular,642612,Pet Treats,Pet Care,517.03,5,Highly recommended!,App Experience,Positive,-2,3.32,,22-02-2024,Quantity,1,https://i.postimg.cc/XYyRxCCx/star.png,⭐⭐⭐⭐⭐,https://i.postimg.cc/FRMdmQjx/pet-food.png,"843, Yogi Zila
Panvel-489127",Alappuzha,137999
5998035939,88324928,22-02-2024 01:21:53 AM,22-02-2024 01:33:53 AM,22-02-2024 01:31:53 AM,On Time,3279.72,Card,25912,2444,Geetika Nanda,Regular,642612,Pet Treats,Pet Care,517.03,5,Highly recommended!,App Experience,Positive,-2,3.32,,22-02-2024,Value,517.03,https://i.postimg.cc/XYyRxCCx/star.png,⭐⭐⭐⭐⭐,https://i.postimg.cc/FRMdmQjx/pet-food.png,"843, Yogi Zila
Panvel-489127",Alappuzha,137999
2039041670,88324928,01-11-2024 09:45:47 AM,01-11-2024 10:05:47 AM,01-11-2024 10:20:47 AM,Slightly Delayed,96.33,Wallet,31963,1003,Geetika Nanda,Regular,287070,Wheat Flour,Grocery & Staples,443.17,4,"Average experience, could improve.",Product Quality,Neutral,15,2.12,Traffic,01-11-2024,Quantity,1,https://i.postimg.cc/X7XSGhNR/smile.png,⭐⭐⭐⭐,https://i.postimg.cc/jSc7fmbs/grocery.png,"843, Yogi Zila
Panvel-489127",Alappuzha,137999
2039041670,88324928,01-11-2024 09:45:47 AM,01-11-2024 10:05:47 AM,01-11-2024 10:20:47 AM,Slightly Delayed,96.33,Wallet,31963,1003,Geetika Nanda,Regular,287070,Wheat Flour,Grocery & Staples,443.17,4,"Average experience, could improve.",Product Quality,Neutral,15,2.12,Traffic,01-11-2024,Value,443.17,https://i.postimg.cc/X7XSGhNR/smile.png,⭐⭐⭐⭐,https://i.postimg.cc/jSc7fmbs/grocery.png,"843, Yogi Zila
Panvel-489127",Alappuzha,137999
5482913265,88324928,08-08-2024 03:18:48 PM,08-08-2024 03:30:48 PM,08-08-2024 03:41:48 PM,Slightly Delayed,2486.56,Wallet,84976,2453,Geetika Nanda,Regular,880510,Bread,Dairy & Breakfast,951.43,4,"Average experience, could improve.",App Experience,Neutral,11,0.61,Traffic,08-08-2024,Quantity,2,https://i.postimg.cc/X7XSGhNR/smile.png,⭐⭐⭐⭐,https://i.postimg.cc/X7wFjX1B/food.png,"843, Yogi Zila
Panvel-489127",Alappuzha,137999
5482913265,88324928,08-08-2024 03:18:48 PM,08-08-2024 03:30:48 PM,08-08-2024 03:41:48 PM,Slightly Delayed,2486.56,Wallet,84976,2453,Geetika Nanda,Regular,880510,Bread,Dairy & Breakfast,951.43,4,"Average experience, could improve.",App Experience,Neutral,11,0.61,Traffic,08-08-2024,Value,1902.86,https://i.postimg.cc/X7XSGhNR/smile.png,⭐⭐⭐⭐,https://i.postimg.cc/X7wFjX1B/food.png,"843, Yogi Zila
Panvel-489127",Alappuzha,137999
819143326,88324928,10-01-2024 07:18:29 PM,10-01-2024 07:34:29 PM,10-01-2024 07:39:29 PM,On Time,3284.6,Cash,73801,9159,Geetika Nanda,Regular,891833,Curd,Dairy & Breakfast,493.19,4,The product met my expectations.,App Experience,Neutral,5,4.37,Traffic,10-01-2024,Quantity,2,https://i.postimg.cc/X7XSGhNR/smile.png,⭐⭐⭐⭐,https://i.postimg.cc/X7wFjX1B/food.png,"843, Yogi Zila
Panvel-489127",Alappuzha,137999
819143326,88324928,10-01-2024 07:18:29 PM,10-01-2024 07:34:29 PM,10-01-2024 07:39:29 PM,On Time,3284.6,Cash,73801,9159,Geetika Nanda,Regular,891833,Curd,Dairy & Breakfast,493.19,4,The product met my expectations.,App Experience,Neutral,5,4.37,Traffic,10-01-2024,Value,986.38,https://i.postimg.cc/X7XSGhNR/smile.png,⭐⭐⭐⭐,https://i.postimg.cc/X7wFjX1B/food.png,"843, Yogi Zila
Panvel-489127",Alappuzha,137999
8356690330,88324928,15-07-2023 06:05:56 PM,15-07-2023 06:20:56 PM,15-07-2023 06:16:56 PM,On Time,3316.63,Card,70661,3316,Geetika Nanda,Regular,566052,Pain Reliever,Pharmacy,87.3,4,"Delivery was fine, but the product could be better.",App Experience,Neutral,-4,0.86,,15-07-2023,Quantity,2,https://i.postimg.cc/X7XSGhNR/smile.png,⭐⭐⭐⭐,https://i.postimg.cc/W3x7FCP9/pharmacy.png,"843, Yogi Zila
Panvel-489127",Alappuzha,137999
8356690330,88324928,15-07-2023 06:05:56 PM,15-07-2023 06:20:56 PM,15-07-2023 06:16:56 PM,On Time,3316.63,Card,70661,3316,Geetika Nanda,Regular,566052,Pain Reliever,Pharmacy,87.3,4,"Delivery was fine, but the product could be better.",App Experience,Neutral,-4,0.86,,15-07-2023,Value,174.6,https://i.postimg.cc/X7XSGhNR/smile.png,⭐⭐⭐⭐,https://i.postimg.cc/W3x7FCP9/pharmacy.png,"843, Yogi Zila
Panvel-489127",Alappuzha,137999
